id,FTP,Seg1_1,Seg1,pwr_20min,pwr_60min,pwr_10min,pwr_90min,bikeweight_kg,age_under40,gender,attempt_date,act_title,Has_HeartRate,first_bikeCPU_brand,second_CPU_brand
25,3.812661438,2555.173023,4564.463889,3.703052638,2.944324367,4.028118448,2.692300958,9.596177225,0,0,2022-06-06,Morning Ride,1,Not using,Not using
26,2.495107958,3133.335804,5030.932022,2.620059326,1.964131619,2.643450307,2.708652681,7.677698075,1,0,2021-10-23,19/10/2018,0,Bryton,Not using
27,2.36577673,2772.559319,4047.597153,2.915829568,2.667356128,3.133185292,2.429515627,10.69986296,1,0,2022-05-09,Morning Ride,1,Bryton,Garmin
28,3.876736505,2100.79026,3501.784301,3.956470633,3.441232599,3.50056688,2.72778005,9.698343972,1,0,2022-11-13,Evening Ride,1,Wahoo,Bryton
29,3.727345125,2497.394205,3854.161286,3.609371544,2.974331118,3.789087033,3.09847188,11.38477076,1,1,2021-05-22,Relaxed ride sun ,1,Wahoo,Wahoo
30,3.819151816,2755.415225,5208.036558,2.787082112,1.824687821,3.381584969,2.117656182,4.817327186,1,1,2022-09-21,Evening Ride,1,Wahoo,Garmin
31,3.813923503,2192.289444,3983.240575,3.764330602,3.081715388,3.999718088,2.509077521,8.275724748,0,1,2021-08-01,Morning Ride,1,Wahoo,Not using
32,4.135249922,2094.643512,4256.104898,4.198568222,3.132629255,4.286284305,3.175802384,9.137829827,1,0,2022-04-10,Afternoon Ride,1,Garmin,Wahoo
33,3.219682492,2728.319422,3909.694255,3.376456689,3.302775516,3.251879448,3.077732519,8.547991354,1,1,2021-05-02,Evening Ride,1,Bryton,Wahoo
34,4.981579871,2563.449505,3365.423608,4.135835029,3.750140585,5.043031351,3.346493325,8.845605118,0,0,2021-04-26,Morning Ride,1,Wahoo,Wahoo
35,2.513920064,2735.731407,4719.890356,2.294025618,2.438440209,2.900186079,1.683833778,9.920820168,1,1,2021-11-25,Afternoon Ride,1,Other,Wahoo
36,5.732827302,1545.876263,3638.129475,3.573019658,2.922023259,4.790577888,2.268310102,11.5226024,0,0,2022-01-31,Morning Ride,1,Garmin,Bryton
37,1.957100009,3339.91207,5420.414494,2.251586232,1.986816685,2.910875047,2.09502663,8.440280728,0,1,2022-04-16,National day ride victory hand: light skin tone ,1,Wahoo,Garmin
38,1.447568957,2816.261888,5245.806947,3.018189657,2.372871315,2.660448239,1.869018273,7.552790081,0,0,2021-06-09,Jeddah Cycling 1,1,Garmin,Not using
39,2.118679935,3540.973914,4763.380226,3.326859567,2.894175316,3.888220645,2.442618732,7.453673882,1,1,2022-01-26,Evening Ride,1,Other,Garmin
40,3.883661564,2343.679014,2488.024102,3.680617681,3.59322811,3.084317766,2.862893253,10.10230832,1,1,2021-12-29,Evening Ride,1,Garmin,Not using
41,2.987676452,3609.444867,4909.442727,2.312802762,2.576640307,3.516441834,2.301513302,7.240268712,1,0,2022-04-22,?????????? ?????? ????????????,1,Other,Garmin
42,4.026451715,2214.456184,5295.314207,4.067113421,2.41779587,4.180009727,2.552627758,9.400225523,0,0,2022-05-15,Resume morning ride flexed biceps: medium skin tone ,1,Wahoo,Wahoo
43,2.478234845,2606.339397,3938.24701,2.905530229,3.351365812,2.921308751,1.964900713,10.33941485,1,0,2021-03-12,Evening Ride,0,Other,Wahoo
44,3.847613853,2768.177549,4302.354722,3.258564613,3.026420655,4.63683668,2.875068048,7.16729049,1,1,2022-09-11,Evening Ride,0,Not using,Not using
45,1.762324997,3056.106616,5093.931856,2.750874244,1.934601667,2.799019411,2.430701886,7.569449081,0,0,2021-07-22,Afternoon Ride,1,Other,Other
46,3.863628357,2027.755075,4409.034874,3.243519872,3.114079462,3.976563552,1.927025662,6.954017713,0,1,2021-05-01,Night Ride,1,Bryton,Bryton
47,1.978491212,3140.735607,4444.757781,3.228900429,3.111240124,3.222539864,2.585414512,8.268957766,0,1,2021-07-29,???? ???????? ????????????????,0,Garmin,Other
48,3.90018054,2180.5918,4247.645316,3.480230192,3.330950923,3.981299476,2.386157429,9.058623344,0,0,2022-10-17,35 k ride,1,Bryton,Other
49,2.427170673,3748.895659,5515.733105,2.435996906,2.026224351,2.747320397,1.481308561,9.355550137,1,0,2022-01-17,Evening Ride,1,Bryton,Wahoo
50,3.923722312,2408.625999,4050.922251,3.712580435,2.738148726,3.463854074,2.280004796,11.17723034,1,1,2021-06-29,Evening Ride,1,Garmin,Garmin
51,3.286343458,3084.182827,4584.106552,2.290142926,2.053704255,2.3251523,2.956430164,10.39252935,1,1,2021-06-12,Morning Ride (Rainy day) ,1,Not using,Not using
52,2.453940501,3093.039217,5097.771913,2.873707681,2.454387393,2.756765124,2.809059774,8.51396124,1,0,2022-05-14,Morning Ride,1,Bryton,Not using
53,4.405901808,1836.190298,4157.24498,3.833081044,3.57077252,4.506014212,2.532725992,8.934807592,0,0,2022-08-16,Night Ride,1,Garmin,Garmin
54,3.918397672,2353.875391,3769.294341,4.231890426,3.900901364,4.705214683,2.47558117,8.555360622,0,1,2021-07-18,Afternoon Ride,1,Bryton,Bryton
55,3.234257737,2261.745584,4186.320176,3.268102506,2.715529558,3.434017636,2.462416884,7.882087552,0,1,2022-06-01,Crazy wind dashing away man biking: light skin tone fire ,1,Bryton,Bryton
56,4.421685024,1992.69402,4176.601601,4.416824175,3.337662479,4.620834642,2.82482257,10.81195036,1,0,2021-10-30,Night Ride,1,Garmin,Garmin
57,4.752376995,1129.806468,2598.534134,4.20649675,4.17712064,4.59718022,2.768008066,12.64594367,0,0,2021-07-20,Evening Ride,1,Garmin,Garmin
58,3.337679009,2713.097209,4590.620521,3.047371755,2.435118698,3.243482578,3.18185669,10.68590084,0,1,2022-09-14,Cross wind,1,Wahoo,Wahoo
59,2.873089622,2385.475867,4168.707458,4.295058668,3.497778336,4.480969638,2.612143394,9.028052476,0,1,2022-02-20,Evening Ride,1,Other,Not using
60,2.800840709,2770.03184,3567.056321,3.481916482,3.47154326,3.498163599,3.238651369,8.451983757,0,1,2022-10-19,Evening Ride,1,Other,Wahoo
61,5.203547554,1051.032153,2675.902273,5.219887323,4.621480702,5.695539786,3.556341339,7.609922078,0,0,2022-10-30,Night Ride,1,Other,Garmin
62,2.954413544,2338.848104,4362.709161,4.216842324,2.614595512,3.141011874,2.772425581,9.154327149,1,0,2020-12-16,Evening Ride,1,Other,Garmin
63,4.412749012,2393.034938,3484.058892,4.212957025,3.759195747,4.816654995,2.78873153,9.1538839,1,0,2022-01-25,MidNight Ride,1,Garmin,Other
64,2.454269321,3243.953117,5360.256133,2.289586661,2.29151703,3.021019498,2.158468845,8.177043887,0,1,2021-07-26,Evening Ride,0,Other,Wahoo
65,3.741720204,2285.91437,4056.38914,3.783675112,3.023840226,3.921590233,2.358142244,9.24531016,0,0,2022-11-14,Evening Ride,1,Other,Garmin
66,5.55506441,1333.494262,2921.294786,5.130039971,4.402463316,5.443755713,3.664993693,11.52156736,0,0,2021-11-23,Evening Ride,1,Garmin,Garmin
67,2.813307812,3040.900913,5043.116624,2.513463293,2.535624728,3.385645509,2.330289456,8.719330056,0,0,2022-03-23,Evening Ride,1,Bryton,Bryton
68,3.918607614,1756.067411,3557.389432,4.484123704,3.723987196,4.412432957,2.903667669,10.28577667,0,1,2022-05-05,Evening Ride,1,Other,Garmin
69,3.578424508,2983.464682,5053.899779,3.1936485,2.553616719,4.062546078,2.341810146,5.805077178,1,1,2021-03-17, person running person biking person swimming ,0,Not using,Not using
70,4.241527045,3064.844461,4042.105343,2.808214764,2.466227146,3.587067408,2.525100616,8.555479595,0,1,2021-09-22,Morning Ride,1,Garmin,Wahoo
71,3.765346656,2650.624367,4116.415357,3.585869196,3.071996174,3.951676988,3.063000395,5.986761321,0,1,2022-07-18,Lunch Ride,1,Other,Bryton
72,4.012269731,2174.896639,4150.675375,3.48905386,3.220392174,4.800097579,2.892189258,10.32182829,0,1,2020-12-20,?????????? ???????? ???? ?????? ???????????? red heart ,0,Bryton,Garmin
73,3.718812342,1920.807337,3560.3268,3.346067937,3.121279593,3.787360112,2.885335331,11.61263374,0,1,2021-05-12,Evening Ride,1,Garmin,Not using
74,3.144563794,2799.792031,4210.546895,3.038712839,3.458789639,3.384473476,1.915166302,8.775191886,1,1,2021-09-10,Morning Ride ?????????? ???????? winking face flexed biceps person biking ,1,Not using,Not using
75,2.785788311,2713.867054,4302.47709,3.801583289,3.444028167,3.306650167,2.497506408,7.860378352,1,0,2022-04-08,?????????? ???????? ???????? recycling symbol check mark button ,0,Other,Wahoo
76,4.097349514,2715.46516,4473.606998,3.943069391,3.072060939,4.482328758,2.821502137,8.596011008,1,0,2022-03-26,Night Ride,1,Garmin,Wahoo
77,3.933691325,1840.122592,4167.004154,3.822879942,3.525859346,4.60192654,2.28183181,7.347993324,1,1,2022-03-18,Evening Ride With Jeddah Cyclists,1,Other,Wahoo
78,2.438844166,2828.550703,4080.592648,2.549061135,2.864610195,2.842260215,2.044123024,10.88652388,1,1,2021-12-18,Morning Ride,1,Other,Garmin
79,3.695884254,2273.959274,4376.963078,2.981798452,2.829938617,3.244885861,2.614557912,11.25949127,0,0,2022-08-27,???????? ???? ???????? ?????? ?????? ???????????????? ?????????????????? ????????????????,1,Wahoo,Wahoo
80,3.625883504,2513.723464,4800.826207,3.200347535,3.127636743,3.795281554,2.297882997,10.89812306,0,0,2021-02-28,?????????? ???? ???????? ?????? ??????????,1,Not using,Not using
81,3.280231513,1925.815342,4163.626795,3.928289765,3.378940689,4.438654166,2.589602807,9.064518049,1,1,2022-10-05,Night Ride,1,Other,Garmin
82,3.09764461,1821.757618,3811.979436,3.536359252,3.256024964,3.432436845,2.745150606,7.4515746,1,0,2022-09-18,Evening Ride,1,Bryton,Garmin
83,2.263930053,3385.794303,5025.080247,2.64355178,1.798225196,2.836683429,2.50439501,9.356795977,1,0,2022-05-06,Evening Ride,0,Not using,Not using
84,4.06499918,2028.759096,3816.576284,3.745850363,3.411843817,3.991078449,3.048762992,10.07869936,0,1,2021-11-29,Morning Ride,0,Wahoo,Wahoo
85,4.540169503,2103.564593,4027.672827,3.33567863,3.043222128,3.7428578,2.362801919,10.32565225,1,0,2021-07-22,Night Ride,1,Garmin,Garmin
86,3.342799897,2551.638751,5088.381826,3.840759797,2.817044343,3.985856524,2.425380741,7.836435354,1,0,2022-08-02,Morning Ride,0,Bryton,Wahoo
87,2.015961641,3802.637062,5132.73804,1.941095365,2.088958122,2.682333151,1.648805933,8.816689554,0,1,2021-08-27,Evening Ride,1,Other,Garmin
88,2.765967447,3126.721867,5280.641327,1.805083209,2.389355151,2.775120856,1.756952901,9.412124513,0,0,2021-10-30,Night Ride,1,Other,Wahoo
89,3.890959704,2660.020228,3721.384608,3.019005396,2.923892593,3.786069326,3.087696046,9.652562648,0,1,2022-04-13,Sortie ?? v??lo en soir??e,1,Garmin,Bryton
90,4.049864274,2443.123272,3997.818293,3.169979786,2.909424306,3.733519021,2.682368341,8.02601538,1,0,2022-05-27,Evening Ride????????,1,Wahoo,Wahoo
91,2.713415937,3041.546689,4381.041652,3.411961264,3.041560394,2.908006406,2.498574279,10.10131849,1,0,2022-07-24,?????????? ?????? ,0,Wahoo,Other
92,4.923849597,1560.888198,3863.342081,4.537868377,3.785985134,5.095560902,3.086990042,10.34153825,0,0,2021-03-28,Night Ride,1,Garmin,Other
93,3.94109969,2270.425343,3833.831821,3.495725943,3.073837395,3.985476773,2.756402536,11.21669878,1,1,2022-09-21,???????????????? ?????? ??????????,1,Bryton,Bryton
94,3.778233454,2539.484045,3266.341815,3.830342321,3.396522693,3.95238777,2.923642968,10.22095984,0,1,2022-07-24,Evening Ride,0,Not using,Not using
95,3.351438899,3079.428869,5192.252593,3.138249037,2.328875343,3.898272717,1.857935372,8.607095912,0,1,2020-12-23,Evening Ride,1,Garmin,Wahoo
96,2.858546938,2508.307356,5045.924031,2.671292397,2.477592995,3.03148652,2.138654472,9.633573596,0,1,2022-09-26,Morning Ride,1,Other,Wahoo
97,4.106485334,2573.903441,3984.757667,3.582158692,3.331702059,3.694368114,2.10404416,10.397768,1,0,2022-08-29,???????? ???? ???????? ?????? Jeddah cyclists ,1,Wahoo,Garmin
98,3.393976625,1995.204571,4709.997927,3.30013536,3.281045496,3.731339792,2.422130145,9.856597955,0,0,2021-06-22,Evening Ride,1,Other,Wahoo
99,4.060388974,2382.555985,3655.59955,3.63027063,3.82889447,4.09687536,3.078019074,8.872835676,0,0,2022-10-04,Night Ride,1,Garmin,Garmin
100,3.51462333,2206.074509,4190.019649,4.111456265,3.586452834,4.464068217,3.152085409,10.74948366,0,1,2022-02-05,Afternoon Ride,1,Bryton,Not using
101,3.480818985,2235.074287,3785.984786,3.114627273,2.526875526,3.65562997,2.816276181,9.680459434,0,0,2022-09-29,Evening Ride,1,Bryton,Wahoo
102,2.828366483,2563.990388,5378.258844,3.518741135,2.534663145,3.911247627,2.15954866,8.702048301,1,1,2022-09-06,Evening Ride,1,Bryton,Garmin
103,3.785321547,2756.513846,4648.92729,2.789712585,2.59636902,3.499198826,2.416835386,7.408791395,1,0,2021-09-22,Evening Ride,1,Other,Wahoo
104,3.224153653,2672.031395,4048.502281,2.959762065,2.129006233,2.925086244,3.212229172,6.973884973,1,1,2021-01-06,Morning Ride,1,Garmin,Bryton
105,3.545437891,2361.300547,5034.498373,2.71450338,2.792687232,2.828854513,2.574937049,7.480889484,1,0,2022-01-19,Evening Ride,1,Wahoo,Garmin
106,2.519863783,3328.515542,4267.376137,2.385365371,2.679167714,3.14188647,2.65286075,6.970061449,1,0,2021-10-10,?????????? ???????? ??????,1,Other,Garmin
107,3.221970396,3123.561561,4994.619946,2.876817382,2.415475418,3.437125841,2.489103396,12.72940054,1,0,2021-06-27,Evening Ride,1,Bryton,Garmin
108,4.054688116,2259.018251,4594.10881,3.372792135,2.971478812,4.456214642,2.571709123,7.987312964,1,1,2020-12-30,A ride with Jeddah cyclist ,0,Garmin,Garmin
109,4.819076371,2832.331852,3851.466438,4.078343424,3.281402047,4.974204438,3.410758123,9.10499453,1,0,2021-11-07,Night Ride,0,Wahoo,Bryton
110,3.793459553,2291.681539,3189.580431,3.53161443,3.902824263,3.442340826,2.564498209,10.52564616,1,1,2022-07-09,Morning Ride,1,Not using,Not using
111,2.046896414,2917.964279,5102.445651,3.113786504,2.842668476,2.625612024,1.96972775,9.001867162,0,1,2021-11-20,Night Ride,1,Wahoo,Wahoo
112,1.512651531,3390.515918,5633.869072,1.876992768,2.276319267,2.031073205,1.746517367,11.0314338,1,1,2022-04-18,Morning ride ,1,Bryton,Garmin
113,2.465533906,2967.080258,5019.889037,2.433132278,2.527854436,3.029213917,2.589953849,11.47875728,0,0,2022-03-10,Evening Ride,1,Other,Wahoo
114,4.676991754,1566.795765,4517.300275,4.184807062,3.189525595,5.019840863,2.64610452,9.68473077,0,0,2021-06-01,???????? ?????????? ?????? ???????????? ???????? fire ,1,Bryton,Garmin
115,3.92602651,2852.742246,3320.093015,3.945534512,3.953455148,4.626231931,3.222886974,6.967578456,1,1,2021-12-31,Evening Ride,1,Garmin,Garmin
116,3.096046913,2215.199736,4107.733852,3.686963628,2.098119601,2.917387778,2.167593466,10.44331568,1,1,2021-01-03,4th workout alone ,1,Wahoo,Wahoo
117,2.665393116,3094.358992,4411.025999,2.975269185,2.733817137,2.849951064,2.246991995,4.473274053,0,0,2022-08-13,Evening Ride,1,Other,Not using
118,3.691217531,2420.566707,3703.438964,3.699736174,3.665474589,4.752313225,2.981827253,7.564318281,0,0,2022-09-13,Afternoon Ride,1,Not using,Not using
119,4.331451671,2235.842944,3997.9522,4.585941381,3.48209059,4.6959923,3.041645157,7.092474349,1,0,2021-08-11,Afternoon Ride,1,Garmin,Garmin
120,1.798660759,3670.805501,4948.188999,2.785475135,2.214170196,2.871047225,2.026534218,9.275171064,1,1,2021-06-18,Afternoon Ride,1,Not using,Not using
121,1.876364856,3244.558373,4404.893221,1.276778997,2.110368027,2.009358734,2.230463349,10.90891184,1,1,2022-04-02,Evening Ride,0,Bryton,Garmin
122,4.402552807,2212.388726,4727.57842,3.310424624,2.480970352,4.325714554,1.933481624,10.03159677,0,0,2022-11-09,Morning Ride,1,Garmin,Garmin
123,3.548720332,2170.001443,4754.04801,3.479365268,2.896645372,3.987360508,1.968491979,8.028164258,0,1,2021-08-19,Evening Ride,0,Garmin,Garmin
124,2.754981775,2731.016408,4254.794866,3.329009294,3.035329017,2.743264736,2.539930232,6.117734394,1,1,2021-12-25,?????????? ???????????? ?????? ???????????? ?????? ???? ?????????? ???????? ?????????? ,0,Not using,Not using
125,4.327619503,2419.337688,3550.728916,3.088716349,3.068625109,3.580674509,3.146184521,8.982241436,0,1,2021-10-18,Afternoon Ride,1,Garmin,Garmin
126,2.577039851,2761.323459,3739.9038,3.067053809,3.394544573,3.550237223,2.28851075,12.68702115,0,1,2021-09-02,Afternoon Ride,1,Wahoo,Wahoo
127,2.055920658,3122.495585,4056.569032,3.197197343,2.178516969,2.896782392,2.859852524,6.006959604,0,0,2022-04-20,Night Ride,1,Wahoo,Wahoo
128,3.704874043,1611.795669,3776.859693,4.003400091,3.417158712,3.320600364,3.165782062,9.533594512,0,1,2021-09-26,Morning Ride ??????,1,Other,Wahoo
129,4.003560576,2672.061345,4538.517967,3.659127491,2.855115757,4.089263152,3.019658764,8.498573193,1,1,2022-05-31,Evening Ride,0,Bryton,Other
130,3.3577244,2648.127694,3520.683921,3.060425678,3.110954664,3.508411564,2.905830465,10.08425065,0,1,2022-11-04,Night Ride,1,Wahoo,Garmin
131,4.219187634,2314.414211,3069.024346,4.660858388,3.454453803,4.822969911,3.339968552,8.323183233,1,0,2021-12-17,?????????? ???????????? ???? ?????? ?????????????? ?????????? ?????????????? ?????? ???????????? bicycle ,0,Wahoo,Bryton
132,3.854925844,2370.257974,3839.166997,3.900656542,3.715993427,4.859069287,3.030723898,7.219077299,1,0,2022-05-26,Night workout ,1,Garmin,Wahoo
133,4.942192609,2158.713427,4449.495447,3.877805887,2.451518304,4.315704621,2.407166219,13.16930827,0,1,2022-02-18,Evening Ride,0,Wahoo,Other
134,3.844064602,2695.383412,4816.513631,3.912226023,2.853815779,4.462064706,2.423680459,9.91940655,1,1,2021-09-17,Evening Ride,0,Garmin,Garmin
135,3.251854053,2820.723139,4996.26918,3.368936891,2.657500083,4.223549074,2.556942628,10.64287782,1,1,2021-12-01,Evening Ride,1,Bryton,Wahoo
136,5.460375042,1459.606816,3759.414097,5.237312858,4.093951618,6.027762055,2.752021921,11.04756706,0,0,2021-07-30,Afternoon Ride,0,Not using,Not using
137,4.968619949,2807.022975,3700.0219,3.90570321,3.261293673,4.448426372,2.886595182,7.851098543,0,1,2021-09-02,Morning Ride,1,Wahoo,Wahoo
138,3.470211397,2673.023776,4788.090394,2.852902718,2.841877344,3.860443887,1.976222802,11.95386887,1,1,2021-05-13,Night Ride,1,Bryton,Bryton
139,3.563616507,2691.71258,4491.490931,3.21887905,3.076792688,3.974058459,2.727540441,9.134069202,1,1,2022-02-10,Morning Ride,1,Bryton,Not using
140,3.310051434,2363.855828,4514.900274,3.566791281,3.236530123,3.800513895,2.349353459,9.67501113,0,1,2021-12-20,Night Ride,1,Other,Bryton
141,3.973040684,2427.92018,3647.660336,3.81893899,3.354645947,3.851606763,2.865032043,11.18289852,0,1,2022-04-22,Night Ride,1,Garmin,Garmin
142,3.654259596,2315.270019,3898.36359,2.990469596,2.8236602,3.103458654,2.394474471,12.33410342,1,1,2022-03-26,Evening Ride,0,Garmin,Garmin
143,4.237899584,1426.6365,3600.164527,5.431684609,4.200874441,5.717478548,3.083769384,11.22851108,0,0,2021-04-30,Morning Ride,1,Garmin,Wahoo
144,3.645418829,2390.627939,3331.881147,3.932287731,3.61874406,3.8462728,3.227307527,7.677041287,1,0,2022-10-24,Night Ride,1,Garmin,Garmin
145,4.919663661,1896.505092,4181.210792,3.974819528,3.046998147,5.407830064,3.062949944,9.730974224,1,1,2022-10-22,?????????? ?????? ????????????????,1,Wahoo,Garmin
146,3.81093438,2037.686635,4075.678388,3.982662254,3.220491252,4.090215195,1.933238718,9.975501975,1,1,2022-08-13,Morning Ride,1,Bryton,Bryton
147,3.743320466,2428.467579,4264.04145,3.492681198,3.536250239,4.36409417,2.185747834,7.520302683,0,0,2021-08-05,Evening Ride,1,Wahoo,Not using
148,3.611713959,1807.941494,4471.954717,4.214380822,3.463465183,4.195624883,2.703928842,8.577470592,1,1,2021-05-30,Evening Ride,1,Bryton,Not using
149,3.458604822,2503.950891,3697.169793,3.269207882,3.740086331,3.8057746,2.856152477,9.367940986,0,1,2021-02-04,Evening Ride,1,Bryton,Wahoo
150,3.646293882,1989.032406,4946.523324,3.425298956,3.139432109,4.174872894,1.723173176,7.634178477,0,0,2021-10-13,Evening Ride,1,Garmin,Wahoo
151,2.242655048,3159.38287,4669.994275,2.447561716,2.406155587,2.643060007,1.89817358,6.668141279,0,0,2021-10-07,Evening Ride,1,Bryton,Bryton
152,2.207507544,2356.604082,4456.53717,3.204158091,2.551609406,2.882241347,2.020002658,7.299022999,1,0,2021-04-12,Evening Ride,1,Bryton,Wahoo
153,4.495744439,1672.301757,4198.72097,4.091458553,3.008186604,4.216829616,2.492364336,10.82114196,0,0,2021-10-05,Night Ride,1,Bryton,Garmin
154,4.424232255,2324.787453,4028.917823,3.715927633,3.203983707,3.874767365,2.582273507,7.903771917,0,1,2022-10-17,Afternoon Ride,1,Wahoo,Wahoo
155,3.782399938,2756.29031,3504.039151,3.155793511,2.762095201,3.125163133,2.795428962,9.955328307,1,1,2021-12-24,Afternoon Ride,0,Bryton,Wahoo
156,4.816527378,2347.223795,3481.050336,4.42040906,3.611109273,4.717810182,2.906597169,11.64207656,1,0,2021-12-03,Night Ride,1,Wahoo,Wahoo
157,4.122391043,2273.555428,4125.346002,3.221700885,2.852186222,3.932627385,2.445444334,11.0185524,1,1,2021-03-22,Night Ride,0,Wahoo,Garmin
158,3.628972365,2887.000355,4138.675995,3.32450601,2.395035826,3.835967929,2.766049259,9.602706834,0,0,2022-06-22,Evening Ride,1,Not using,Not using
159,4.823319491,1826.752098,4020.735815,4.253862839,3.815219313,4.811435242,2.731771623,8.072811568,1,1,2022-04-09,Evening Ride,1,Wahoo,Garmin
160,3.206901564,2500.980353,4851.935859,3.571225798,3.202062843,4.36167446,2.384593555,9.213634186,1,1,2022-02-26,Evening Ride,0,Wahoo,Wahoo
161,4.212781008,1912.138606,4049.680273,3.964806054,3.63892031,4.943295759,2.493585751,8.328780201,0,0,2022-08-06,Night Ride,0,Wahoo,Wahoo
162,3.095377919,2820.835757,3702.866511,2.645103242,3.059864227,3.44984933,2.42608312,6.690375869,1,1,2022-09-04,Evening Ride,1,Garmin,Garmin
163,4.156398916,1742.985554,3815.98885,4.437511516,3.262942133,4.162190165,2.463646248,10.16101692,0,0,2022-05-16,???????? ?????? ???????? ????,0,Garmin,Garmin
164,1.977928049,3634.857748,5104.762056,2.351996872,2.078505263,2.809426973,1.983657873,9.025410136,1,1,2021-10-07,Morning Ride,1,Other,Wahoo
165,3.37898631,2686.780488,4415.865245,2.903071201,3.012607044,3.269536067,2.339388195,9.634924337,0,1,2021-10-08,Evening Ride,1,Bryton,Wahoo
166,4.167807896,2575.062362,3983.542716,3.265399797,3.188033136,4.073859058,2.59117631,12.8057093,0,0,2021-03-10,Geely Jeddah 50k race (Garmin malfunctioned),1,Wahoo,Wahoo
167,3.290671617,2902.028833,3740.510732,3.630681471,3.590916041,3.305508969,2.623822365,8.227169174,0,1,2022-10-10,Morning Ride,0,Other,Garmin
